epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,298.773,1.70496,2.55644,1.53418,1.155,0.2932,0.3058,0.22187,0.09772,0.30753,0.31196,0.23123,0.08736,1.94685,3.11753,2.08779,1.38821,0.000742815,0.000742815,0.000742815
58,303.979,1.79319,2.60017,1.49937,1.16312,0.32614,0.33416,0.25265,0.11327,0.35726,0.33539,0.26589,0.10349,1.95027,3.09748,2.05128,1.40463,0.000726312,0.000726312,0.000726312
59,309.398,1.79713,2.68653,1.51048,1.18457,0.33109,0.3058,0.23086,0.10414,0.35259,0.32182,0.24923,0.09516,1.96563,3.14007,2.07098,1.42385,0.000709809,0.000709809,0.000709809
60,314.74,1.77188,2.64024,1.46487,1.16441,0.27886,0.3021,0.22215,0.10153,0.3164,0.30333,0.23478,0.09494,1.93698,3.21375,2.08024,1.4044,0.000693305,0.000693305,0.000693305
61,319.948,1.70668,2.55633,1.49311,1.17561,0.29064,0.27744,0.21495,0.09724,0.30822,0.29666,0.22095,0.09023,1.98513,3.23274,2.13174,1.42554,0.000676802,0.000676802,0.000676802
62,325.082,1.70622,2.54801,1.48741,1.17309,0.30113,0.28158,0.21516,0.09444,0.31189,0.27867,0.21006,0.08417,2.01425,3.25302,2.14149,1.43831,0.000660299,0.000660299,0.000660299
63,330.338,1.73341,2.57149,1.45908,1.16628,0.33287,0.32552,0.25445,0.11243,0.33281,0.32922,0.25655,0.10552,1.96389,3.21139,2.15479,1.39815,0.000643795,0.000643795,0.000643795
64,335.707,1.75601,2.60059,1.48462,1.17951,0.30555,0.32059,0.2417,0.10923,0.32816,0.31861,0.24703,0.10223,1.95769,3.16374,2.15251,1.39518,0.000627292,0.000627292,0.000627292
65,340.774,1.71448,2.5704,1.49099,1.14872,0.24915,0.28607,0.18865,0.08461,0.25667,0.2947,0.19314,0.07723,1.98282,3.17315,2.17486,1.41999,0.000610789,0.000610789,0.000610789
66,345.993,1.68501,2.46832,1.43792,1.14521,0.26405,0.2688,0.19707,0.08777,0.27188,0.27374,0.20287,0.08283,1.97145,3.17738,2.17403,1.42001,0.000594286,0.000594286,0.000594286
67,351.114,1.67978,2.54533,1.39398,1.17892,0.33895,0.2947,0.24586,0.10932,0.33625,0.2984,0.24921,0.09983,1.98166,3.18129,2.12909,1.41827,0.000577782,0.000577782,0.000577782
68,356.427,1.68965,2.48235,1.41901,1.14293,0.32664,0.2947,0.25046,0.11481,0.37989,0.27269,0.25921,0.10428,1.99895,3.17156,2.16381,1.4255,0.000561279,0.000561279,0.000561279
69,361.917,1.69427,2.53442,1.37131,1.15373,0.33813,0.28853,0.23243,0.10634,0.34701,0.28438,0.24484,0.09568,2.03179,3.21797,2.20907,1.43446,0.000544776,0.000544776,0.000544776
70,367.187,1.67469,2.52553,1.3973,1.1251,0.33173,0.27867,0.22322,0.10152,0.34388,0.28887,0.23975,0.09167,2.03218,3.2577,2.20813,1.43084,0.000528272,0.000528272,0.000528272
71,372.341,1.70175,2.55055,1.36039,1.14187,0.33513,0.26141,0.22859,0.10101,0.34974,0.2688,0.23487,0.09159,2.02166,3.30233,2.17213,1.41411,0.000511769,0.000511769,0.000511769
72,377.587,1.74004,2.58588,1.39068,1.16581,0.28154,0.27867,0.21609,0.09635,0.34012,0.26264,0.2265,0.08685,1.99183,3.30569,2.15355,1.40144,0.000495266,0.000495266,0.000495266
73,382.854,1.70713,2.54516,1.38583,1.16364,0.30392,0.3021,0.22341,0.09696,0.32665,0.28951,0.22873,0.08844,2.01939,3.27084,2.14811,1.4167,0.000478762,0.000478762,0.000478762
74,387.993,1.63429,2.50675,1.37669,1.15685,0.32858,0.30333,0.22162,0.09954,0.33744,0.29641,0.23024,0.08787,2.04199,3.28396,2.10263,1.43494,0.000462259,0.000462259,0.000462259
75,393.036,1.57717,2.38776,1.3537,1.12851,0.339,0.29716,0.23478,0.10557,0.34,0.291,0.23546,0.09549,1.98091,3.22038,2.07434,1.4094,0.000445756,0.000445756,0.000445756
76,398.246,1.581,2.40318,1.35846,1.10806,0.33885,0.25031,0.2137,0.09554,0.34553,0.25524,0.22066,0.08837,1.98021,3.20663,2.12813,1.40429,0.000429253,0.000429253,0.000429253
77,403.603,1.60532,2.462,1.35547,1.12865,0.29163,0.27159,0.20619,0.09105,0.31413,0.27867,0.22082,0.08755,1.99164,3.21262,2.13577,1.40227,0.000412749,0.000412749,0.000412749
78,408.96,1.65587,2.47859,1.34643,1.11827,0.28295,0.30456,0.21476,0.09351,0.32289,0.2984,0.23201,0.09013,1.98019,3.2138,2.12663,1.39813,0.000396246,0.000396246,0.000396246
79,414.322,1.66564,2.51317,1.33643,1.11572,0.33387,0.28977,0.23373,0.09974,0.35537,0.29094,0.2448,0.09439,1.97863,3.16679,2.1638,1.40983,0.000379743,0.000379743,0.000379743
80,419.734,1.62666,2.41319,1.32146,1.11749,0.3351,0.31689,0.24533,0.10661,0.3594,0.30949,0.25568,0.1005,1.96494,3.14622,2.19212,1.40955,0.000363239,0.000363239,0.000363239
81,425.216,1.6623,2.43615,1.28923,1.10952,0.32541,0.33909,0.25576,0.11471,0.34096,0.33539,0.26127,0.10896,1.97212,3.13969,2.19238,1.42112,0.000346736,0.000346736,0.000346736
82,430.48,1.62094,2.41331,1.28052,1.10871,0.32607,0.32676,0.2491,0.10865,0.33543,0.32182,0.24688,0.10121,2.01188,3.17542,2.26198,1.44163,0.000330233,0.000330233,0.000330233
83,435.739,1.6225,2.4431,1.32581,1.12525,0.32175,0.31319,0.24496,0.10682,0.32312,0.31566,0.23752,0.09475,2.01853,3.20672,2.28174,1.43794,0.000313729,0.000313729,0.000313729
84,440.838,1.58875,2.39374,1.27277,1.09006,0.3322,0.30333,0.23967,0.10757,0.3421,0.29963,0.23371,0.09479,2.01454,3.21136,2.24723,1.43158,0.000297226,0.000297226,0.000297226
85,446.272,1.56699,2.39455,1.24621,1.11032,0.34511,0.2873,0.24045,0.10571,0.34113,0.30086,0.2351,0.09348,2.03897,3.22644,2.23987,1.44317,0.000280723,0.000280723,0.000280723
86,451.437,1.62096,2.40128,1.28387,1.10691,0.31525,0.29223,0.22954,0.10133,0.32608,0.2947,0.23064,0.09132,2.03969,3.22054,2.24975,1.44677,0.00026422,0.00026422,0.00026422
87,456.989,1.5818,2.43381,1.27526,1.11062,0.32628,0.27744,0.2259,0.0975,0.30887,0.2799,0.21703,0.08619,2.05528,3.2424,2.27635,1.44935,0.000247716,0.000247716,0.000247716
88,462.354,1.61117,2.4563,1.28619,1.10943,0.33745,0.28113,0.22247,0.09677,0.33376,0.27004,0.21968,0.08683,2.06553,3.24985,2.26303,1.44345,0.000231213,0.000231213,0.000231213
89,467.572,1.59468,2.43041,1.22986,1.10535,0.32203,0.3058,0.23368,0.10257,0.32734,0.30302,0.23628,0.09369,2.05722,3.21367,2.25327,1.44953,0.00021471,0.00021471,0.00021471
