epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,690.646,1.80536,3.01576,1.04184,1.1053,0.38615,0.23584,0.25418,0.1265,0.39803,0.23288,0.25086,0.11832,1.84349,2.78519,1.10073,1.08577,0.00102337,0.00102337,0.00102337
41,707.002,1.80074,3.00052,1.03424,1.10363,0.40495,0.26033,0.2871,0.14041,0.37893,0.24113,0.26807,0.11822,1.81423,2.80329,1.10948,1.07794,0.00100687,0.00100687,0.00100687
42,720.823,1.74452,2.89914,1.03252,1.09658,0.38849,0.25025,0.28001,0.14181,0.37105,0.23134,0.26311,0.11465,1.81428,2.78318,1.12814,1.0656,0.000990365,0.000990365,0.000990365
43,735.882,1.74658,2.93284,1.01914,1.09688,0.41293,0.24712,0.28364,0.14221,0.40758,0.23836,0.2762,0.12495,1.78843,2.75483,1.10054,1.05425,0.000973861,0.000973861,0.000973861
44,749.663,1.81567,2.9862,1.08225,1.10182,0.42033,0.27736,0.28902,0.14093,0.39682,0.25837,0.26879,0.11819,1.84894,2.76985,1.09414,1.09121,0.000957358,0.000957358,0.000957358
45,763.297,1.81985,2.92331,1.10613,1.11614,0.4401,0.29859,0.30237,0.15026,0.41369,0.28302,0.28414,0.12337,1.77603,2.72472,1.11186,1.07208,0.000940855,0.000940855,0.000940855
46,779.98,1.8288,2.95742,1.09589,1.10834,0.43064,0.29445,0.29864,0.14603,0.41758,0.27915,0.28403,0.12486,1.79071,2.76017,1.13058,1.06333,0.000924352,0.000924352,0.000924352
47,797.746,1.86705,2.98677,1.07844,1.09072,0.40178,0.31119,0.29345,0.14243,0.39926,0.28515,0.28086,0.12268,1.7803,2.76529,1.14763,1.05716,0.000907848,0.000907848,0.000907848
48,815.699,1.83676,2.95325,1.09765,1.11118,0.42279,0.30706,0.30627,0.15178,0.41307,0.2832,0.29303,0.12655,1.78893,2.72774,1.11093,1.06926,0.000891345,0.000891345,0.000891345
49,833.887,1.8297,3.0454,1.03021,1.0772,0.4437,0.26642,0.29691,0.14585,0.41537,0.2419,0.26748,0.1167,1.79888,2.76162,1.08288,1.06598,0.000874842,0.000874842,0.000874842
50,847.536,1.74658,2.92352,0.98428,1.07449,0.43394,0.27785,0.30193,0.14975,0.41301,0.26039,0.2816,0.12494,1.81087,2.75596,1.07653,1.07197,0.000858338,0.000858338,0.000858338
51,864.669,1.75152,2.95827,1.01091,1.08695,0.42746,0.28809,0.30143,0.14802,0.40785,0.26981,0.28387,0.12892,1.80808,2.7586,1.08782,1.0715,0.000841835,0.000841835,0.000841835
52,882.107,1.82613,2.96455,1.05611,1.0957,0.43064,0.29494,0.3073,0.15128,0.412,0.27789,0.28922,0.13013,1.79408,2.71683,1.07489,1.06851,0.000825332,0.000825332,0.000825332
53,896.935,1.76637,2.9051,1.0145,1.086,0.42808,0.29696,0.31044,0.15373,0.40572,0.2777,0.29002,0.12908,1.78499,2.72018,1.06834,1.06436,0.000808828,0.000808828,0.000808828
54,913.513,1.72394,2.81221,0.99223,1.08109,0.44176,0.27422,0.30998,0.15727,0.41503,0.25281,0.28613,0.12849,1.75735,2.68991,1.06617,1.04853,0.000792325,0.000792325,0.000792325
55,930.076,1.76367,2.83448,1.03421,1.07847,0.44703,0.26418,0.29782,0.14523,0.4145,0.24013,0.2696,0.12078,1.79094,2.78491,1.08143,1.04899,0.000775822,0.000775822,0.000775822
56,945.873,1.86257,3.01176,1.09018,1.09595,0.44098,0.27101,0.30205,0.15128,0.42489,0.25356,0.28211,0.12677,1.78703,2.68871,1.06997,1.05525,0.000759318,0.000759318,0.000759318
57,968.748,1.82815,2.91841,1.06605,1.10256,0.43612,0.29157,0.30457,0.15594,0.4133,0.2744,0.28494,0.1265,1.76088,2.69003,1.07097,1.05244,0.000742815,0.000742815,0.000742815
